Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
140,Abdel Nader\naderab01,SF,24,BOS,11,0,3,0.5,1.4,0.333,0,0.4,0,0.5,1,0.455,0.333,0.2,0.4,0.5,0.1,0.2,0.3,0.3,0.1,0.1,0.2,0.2,1.1
141,Larry Nance\nancela02,C,25,CLE,20,0,15.4,2.1,3,0.683,0,0.1,0,2.1,3,0.695,0.683,0.7,1.6,0.452,1.8,2.8,4.5,0.9,0.8,0.7,0.6,1.8,4.8
142,Shabazz Napier\napiesh01,PG,26,POR,2,0,17.5,2.5,5.5,0.455,0,2,0,2.5,3.5,0.714,0.455,0.5,1,0.5,0,1,1,1.5,1.5,0,3,0.5,5.5
143,Raul Neto\netora01,PG,25,UTA,8,0,9,0.9,2.9,0.304,0.3,0.9,0.286,0.6,2,0.313,0.348,0.6,0.6,1,0.3,1,1.3,1.3,0.3,0,0.5,0.9,2.6
144,Lucas Nogueira\noguelu01,C,25,TOR,5,0,4.8,0,0.2,0,0,0,,0,0.2,0,0,0.2,0.4,0.5,0,0.2,0.2,0.2,0,0,0.6,1.2,0.2
145,Jusuf Nurkic\nurkiju01,C,23,POR,4,4,23.5,4.8,9.8,0.487,0,0,,4.8,9.8,0.487,0.487,2.3,2.8,0.818,3,5,8,1,1.5,1.3,0.8,3.5,11.8
146,Royce O'Neale\onealro01,SF,24,UTA,11,5,23.5,2.5,5.1,0.5,0.9,2.5,0.357,1.6,2.5,0.643,0.589,1.1,1.7,0.632,0.3,3.2,3.5,1.4,0.9,0.4,1.5,2.7,7.1
147,Semi Ojeleye\ojelese01,PF,23,BOS,17,3,13.5,0.6,1.9,0.303,0.4,1.3,0.273,0.2,0.6,0.364,0.394,0.4,0.4,0.857,0.2,1.4,1.6,0.1,0.2,0,0.1,1.2,1.9
148,Emeka Okafor\okafoem01,C,35,NOP,1,0,4,0,1,0,0,0,,0,1,0,0,0,0,,0,0,0,0,0,0,0,1,0
149,Victor Oladipo\oladivi01,SG,25,IND,7,7,37.3,7.6,18.1,0.417,3.3,8.1,0.404,4.3,10,0.429,0.508,4.3,5.9,0.732,0.4,7.9,8.3,6,2.4,0.4,3.4,1.6,22.7
